,url,section,title,year,type,author
2716,https://mindmodeling.org/cogsci2013/papers/0429/index.html,Posters,Computational exploration of task and attention modulation on holistic processing  and left side bias effects in face recognition: the case of face drawing experts.,2013,poster,"Hsiao, Janet Hui-Wen"
2717,https://mindmodeling.org/cogsci2013/papers/0430/index.html,Posters,A joint interference effect in picture naming,2013,poster,"Gambi, Chiara"
2717,https://mindmodeling.org/cogsci2013/papers/0430/index.html,Posters,A joint interference effect in picture naming,2013,poster,"van de Cavey, Joris"
2717,https://mindmodeling.org/cogsci2013/papers/0430/index.html,Posters,A joint interference effect in picture naming,2013,poster,"Pickering, Martin"
2718,https://mindmodeling.org/cogsci2013/papers/0431/index.html,Posters,Semantic Ambiguity Resolution as a Decision Process,2013,poster,"Gaylord, Nicholas"
2718,https://mindmodeling.org/cogsci2013/papers/0431/index.html,Posters,Semantic Ambiguity Resolution as a Decision Process,2013,poster,"Bannard, Colin"
2719,https://mindmodeling.org/cogsci2013/papers/0432/index.html,Posters,"Individual Differences, Imagery and the Visual Impedance Effect",2013,poster,"Castaneda, Lupita Estefania Gazzo"
2719,https://mindmodeling.org/cogsci2013/papers/0432/index.html,Posters,"Individual Differences, Imagery and the Visual Impedance Effect",2013,poster,"Knauff, Markus"
2720,https://mindmodeling.org/cogsci2013/papers/0433/index.html,Posters,Playing for Us: The Influence of Joint Action on Planning in Three-year-olds,2013,poster,"Gerson, Sarah"
2720,https://mindmodeling.org/cogsci2013/papers/0433/index.html,Posters,Playing for Us: The Influence of Joint Action on Planning in Three-year-olds,2013,poster,"Hunnius, Sabine"
2720,https://mindmodeling.org/cogsci2013/papers/0433/index.html,Posters,Playing for Us: The Influence of Joint Action on Planning in Three-year-olds,2013,poster,"Bekkering, Harold"
2721,https://mindmodeling.org/cogsci2013/papers/0434/index.html,Posters,Back on track: Backtracking in counterfactual reasoning,2013,poster,"Gerstenberg, Tobias"
2721,https://mindmodeling.org/cogsci2013/papers/0434/index.html,Posters,Back on track: Backtracking in counterfactual reasoning,2013,poster,"Bechlivanidis, Christos"
2721,https://mindmodeling.org/cogsci2013/papers/0434/index.html,Posters,Back on track: Backtracking in counterfactual reasoning,2013,poster,"Lagnado, David"
2722,https://mindmodeling.org/cogsci2013/papers/0435/index.html,Posters,Musical training and auditory global-local precedence,2013,poster,"Gilman, Anne"
2722,https://mindmodeling.org/cogsci2013/papers/0435/index.html,Posters,Musical training and auditory global-local precedence,2013,poster,"Ebbets, Elizabeth"
2723,https://mindmodeling.org/cogsci2013/papers/0436/index.html,Posters,Visual Strategies in Analogical Reasoning Development:  A New Method for Classifying Scanpaths,2013,poster,"Glady, Yannick"
2723,https://mindmodeling.org/cogsci2013/papers/0436/index.html,Posters,Visual Strategies in Analogical Reasoning Development:  A New Method for Classifying Scanpaths,2013,poster,"Thibaut, Jean-Pierre"
2723,https://mindmodeling.org/cogsci2013/papers/0436/index.html,Posters,Visual Strategies in Analogical Reasoning Development:  A New Method for Classifying Scanpaths,2013,poster,"French, Bob"
2724,https://mindmodeling.org/cogsci2013/papers/0437/index.html,Posters,A Сritical View on Conceptual Blending Theory,2013,poster,"Glebkin, Vladimir"
2725,https://mindmodeling.org/cogsci2013/papers/0438/index.html,Posters,Primacy/recency effects in infant categorisation,2013,poster,"Gliozzi, Valentina"
2725,https://mindmodeling.org/cogsci2013/papers/0438/index.html,Posters,Primacy/recency effects in infant categorisation,2013,poster,"Althaus, Nadja"
2725,https://mindmodeling.org/cogsci2013/papers/0438/index.html,Posters,Primacy/recency effects in infant categorisation,2013,poster,"Mayor, Julien"
2725,https://mindmodeling.org/cogsci2013/papers/0438/index.html,Posters,Primacy/recency effects in infant categorisation,2013,poster,"Plunkett, Kim"
2726,https://mindmodeling.org/cogsci2013/papers/0439/index.html,Posters,"Inventing Prepares Learning Motivationally, but a Worked-out Solution Enhances Learning Outcomes",2013,poster,"Glogger, Inga"
2726,https://mindmodeling.org/cogsci2013/papers/0439/index.html,Posters,"Inventing Prepares Learning Motivationally, but a Worked-out Solution Enhances Learning Outcomes",2013,poster,"Kappich, Julian"
2726,https://mindmodeling.org/cogsci2013/papers/0439/index.html,Posters,"Inventing Prepares Learning Motivationally, but a Worked-out Solution Enhances Learning Outcomes",2013,poster,"Schwonke, Rolf"
2726,https://mindmodeling.org/cogsci2013/papers/0439/index.html,Posters,"Inventing Prepares Learning Motivationally, but a Worked-out Solution Enhances Learning Outcomes",2013,poster,"Holzäpfel, Lars"
2726,https://mindmodeling.org/cogsci2013/papers/0439/index.html,Posters,"Inventing Prepares Learning Motivationally, but a Worked-out Solution Enhances Learning Outcomes",2013,poster,"Nückles, Matthias"
2726,https://mindmodeling.org/cogsci2013/papers/0439/index.html,Posters,"Inventing Prepares Learning Motivationally, but a Worked-out Solution Enhances Learning Outcomes",2013,poster,"Renkl, Alexander"
2727,https://mindmodeling.org/cogsci2013/papers/0440/index.html,Posters,Development of Semantic Knowledge and Its Role in the Development of Category-Based Reasoning,2013,poster,"Godwin, Karrie"
2727,https://mindmodeling.org/cogsci2013/papers/0440/index.html,Posters,Development of Semantic Knowledge and Its Role in the Development of Category-Based Reasoning,2013,poster,"Matlen, Bryan"
